139,10450,1745335533421
140,18787,1745335538426
141,4143,1745335543430
142,27679,1745335548435
143,3508,1745335553443
144,4152,1745335558448
145,12179,1745335563449
146,17776,1745335568455
147,21528,1745335573459
148,15689,1745335578466
149,988,1745335583476
150,1211,1745335588478
151,1023,1745335593484
152,11344,1745335598491
153,5049,1745335603493
154,20199,1745335608500
155,25710,1745335613502
156,25867,1745335618503
157,21909,1745335623508
158,19904,1745335628512
159,22202,1745335633517
160,27762,1745335638519
161,28135,1745335643528
162,29525,1745335648531
163,10485,1745335653540
164,18591,1745335658549
165,9116,1745335663551
166,29829,1745335668557
167,12754,1745335673565
