No.,ID,TIMESTAMP
1,6374,1744980877016
2,22803,1744980882026
3,24772,1744980887028
4,8957,1744980892034
5,10914,1744980897045
6,390,1744980902048
7,5152,1744980907053
8,10890,1744980912058
9,24641,1744980917063
10,27320,1744980922070
11,20642,1744980927078
12,25562,1744980932082
13,3500,1744980937086
14,8919,1744980942091
15,19705,1744980947096
16,1725,1744980952105
17,20075,1744980957112
18,21508,1744980962115
19,19176,1744980967121
20,6301,1744980972126
21,4213,1744980977126
22,29502,1744980982137
23,8057,1744980987146
24,19697,1744980992149
25,18846,1744980997155
26,12008,1744981002160
27,13329,1744981007163
28,12073,1744981012171
29,9826,1744981017181
30,24062,1744981022187
31,10035,1744981027191
32,3056,1744981032196
33,7846,1744981037199
34,2456,1744981042207
35,11838,1744981047217
36,7414,1744981052222
37,8873,1744981057229
38,29581,1744981062233
39,19133,1744981067234
40,8307,1744981072244
41,2166,1744981077253
42,19478,1744981082258
43,24070,1744981087264
44,15597,1744981092268
45,11156,1744981097272
46,11484,1744981102273
47,25421,1744981107280
48,27386,1744981112286
49,26398,1744981117291
50,19154,1744981122294
51,28212,1744981127299
52,3684,1744981132307
53,26737,1744981137311
54,2946,1744981142313
55,1435,1744981147316
56,16090,1744981152318
57,14562,1744981157324
58,544,1744981162331
59,11355,1744981167341
60,9204,1744981172344
61,12212,1744981177348
62,12464,1744981182356
63,8589,1744981187362
64,17280,1744981192373
65,15646,1744981197381
66,1381,1744981202385
67,19362,1744981207390
68,25584,1744981212395
69,14334,1744981217398
70,13514,1744981222409
71,5647,1744981227416
72,20681,1744981232421
73,22324,1744981237423
74,27492,1744981242425
75,2300,1744981247429
76,28017,1744981252437
77,9070,1744981257447
78,26703,1744981262448
79,11835,1744981267450
80,26358,1744981272456
81,16602,1744981277460
82,851,1744981282469
83,14979,1744981287478
84,8816,1744981292485
85,26375,1744981297487
86,5851,1744981302501
87,27247,1744981307505
88,12664,1744981312511
89,29750,1744981317521
90,14535,1744981322523
91,19045,1744981327525
92,2145,1744981332538
93,10526,1744981337539
94,18448,1744981342548
95,15108,1744981347551
96,22430,1744981352559
97,8230,1744981357565
98,4542,1744981362566
99,7454,1744981367573
100,27096,1744981372584
101,1464,1744981377584
102,8207,1744981382586
103,20092,1744981387593
104,1940,1744981392599
105,17175,1744981397606
106,18543,1744981402616
107,19708,1744981407619
108,1379,1744981412627
109,22920,1744981417633
110,22271,1744981422637
111,7870,1744981427638
112,3203,1744981432649
113,7775,1744981437652
114,6364,1744981442654
115,14968,1744981447664
116,14872,1744981452665
117,4069,1744981457668
118,17352,1744981462677
119,19960,1744981467683
120,4635,1744981472685
121,6707,1744981477691
122,2472,1744981482695
123,21475,1744981487699
124,27132,1744981492710
125,4869,1744981497717
126,18467,1744981502720
127,28852,1744981507726
128,28827,1744981512732
129,19891,1744981517736
130,27126,1744981522742
131,775,1744981527746
132,13642,1744981532747
133,11477,1744981537754
134,29928,1744981542759
135,15256,1744981547764
136,2693,1744981552768
137,8298,1744981557775
138,27775,1744981562781
139,23238,1744981567787
140,15313,1744981572788
141,945,1744981577795
142,8554,1744981582802
143,10580,1744981587807
144,22174,1744981592813
145,20189,1744981597815
146,13351,1744981602821
147,22491,1744981607827
148,13423,1744981612837
149,18400,1744981617843
